ts	phase	decision	why	evidence	result
2026-08-14T01:15:05Z	frame	Continued with Stage 2B as the dependency that unlocks GameCarry desktop containment	Mobile device closure is blocked by missing full Xcode, Cafops is separately owned, and GameCarry must not add a local raw-descriptor or path fallback	docs/oracle-support-crate-source-admission-disposition.md; GameCarry beads gc-d5s.2.3 and gc-tvz.3.2	Stage 2B confirmed unresolved at merged haxe.rust c1dd6a2
2026-08-14T01:20:24Z	escalate	Requested one focused Oracle plan for the classpath trust anchor	Haxe 4.3.7 exposes active classpaths as relative, absolute, and empty path strings, so the earlier opaque-ID-only helper request cannot locate real roots without an additional authority seam	.audit/haxe-classpath-probe.md; Oracle request orq_20260814T011859Z_f712c070	Implementation paused before a second attempt; request is draft and owned by haxe-rust-support-admission.mzj8xf/gamecarry-haxe-rust-agent
2026-08-14T01:24:50Z	oracle-prepare	Bound the focused Stage 2B architecture packet	The packet includes the exact merged haxe.rust source, selective Haxe 4.3 compiler sources, the reduced probe, prior disposition, alternatives, invariants, tests, and stop conditions	Oracle request orq_20260814T011859Z_f712c070; prompt b1ce2419b467b042f3d7ddbd4cfd0ca8d1752f0855b2e7f0a21977373013c21b; bundle 007acc4e4e00c33289250f438877b385e2b114e8c11f89b8a53b060786edd108	Prepared with dispatchSafety not_attempted; unrelated TLS snapshot omitted after the security scanner rejected it
2026-08-14T02:23:21Z	reconcile	Accepted the transient locator seam with three local corrections	The response is valid advisory evidence, but active classpaths need parent segments, Haxe needs directory records for complete tree validation, and Haxe 4.3.7 has no compiler-request cancellation callback	docs/oracle-support-crate-classpath-trust-anchor-disposition.md; Oracle request orq_20260814T011859Z_f712c070	Local plan is ready for ledger processing; Linux x86-64 is the first native tracer and macOS remains explicit follow-up work
2026-08-14T04:03:46Z	implement	Enabled the first Stage 2B tracer on Apple Silicon macOS	The requester required local Mac use and required native helper logic to be authored through haxe.rust Metal	tools/support-crate-admission-helper; native/support-crate-admission/darwin-arm64; test:support-crate-admission-helper; test:support-crate-admission-runner; test:support-crate-boundary	Haxe-authored Metal helper admits exact pinned-directory trees on macOS ARM64; Linux remains disabled pending VM proof
2026-08-14T05:18:00Z	oracle-review	Accepted the GPT-5.6 Pro macOS closure review as changes requested	The architecture remained sound, but ordering, early resource limits, signal handling, package anchoring, reproducible binary evidence, process cleanup, and contract wording had concrete counterexamples	Oracle request orq_20260814T042629Z_efc590c1; docs/oracle-support-crate-admission-macos-final-disposition.md	Retained all material findings and started one finite repair pass without changing the Haxe/Metal ownership design
2026-08-14T05:56:09Z	repair	Closed the retained macOS Stage 2B counterexamples locally	Each repair now has a direct fixture or a mechanical build/provenance check	test:support-crate-admission-helper 17/17; test:support-crate-admission-runner 9/9; focused warm package-anchor test; test:support-crate-admission-package	Candidate is ready for aggregate local gates and narrow independent closure review; Stage 3, Linux, Windows, and Haxelib remain deferred
2026-08-14T08:20:48Z	verify	Passed the complete local haxe.rust harness after recovering the exact candidate into a persistent worktree	The aggregate run tested compiler contracts, server lifecycle, packaging, the full Metal policy, runtime examples, and native parity on one unchanged candidate	npm run check:harness; exit 0; total 6349s	Aggregate local evidence is green; one narrow independent closure review remains before merge
2026-08-14T09:18:00Z	oracle-reconciliation	Retained six implementation findings and rejected one false code blocker	The Oracle reviewed the packet's real commit, but the prompt contained an invented full SHA; the remaining limit, cleanup, race, and package-evidence counterexamples reproduced locally	Oracle request orq_20260814T084456Z_5cb2338d; docs/oracle-support-crate-admission-closure-disposition.md	Ledger response processed and archived; exact-SHA packet construction must be mechanical in the replacement review
2026-08-14T10:22:00Z	repair	Closed early limits, child-name races, output overflow, and exceptional process cleanup	The helper must reject excess work before retention and must prove that an opened child is the child that it inspected	21 helper cases; 10 runner cases; 16 compiler-boundary cases	Traversal-wide reservations, child device/inode checks, saturating output counts, and reap-before-close behavior are green
2026-08-14T10:22:00Z	package-evidence	Bound the macOS package to one controlled Darwin ARM64 Cargo build	Ambient wrappers, flags, linker, target, SDK, user Cargo configuration, and all-target metadata could make the evidence describe a different build	test:support-crate-admission-package; binary dd8d561a82e150610ee36b2fb66390361fe04057a9ee788980f9d8a0b8f0293d	Poisoned ambient overrides do not affect the build; inventory and notices contain only 14 reachable Darwin ARM64 packages
