ts	phase	decision	why	evidence	result
2026-08-13T18:47:16Z	baseline	Started stage 2 from the reviewed PR #10 merge and kept emission disabled	The parser and saved plan must be reviewable before they can change Cargo output	merge 48da9cdc; docs/support-crate-facility.md	stage 1 merged; stage 2 open
2026-08-13T18:51:39Z	architecture	Escalated macro-host source admission before implementation	A path-based check then read has a link-swap race, and the existing design does not select a portable no-follow read owner	Oracle request orq_20260813T184955Z_060afb9d	prepared with exact source evidence
2026-08-13T19:45:14Z	oracle-reconciliation	Accepted the Stage 2A/2B split and a one-shot native source-admission helper with explicit unresolved host details	Live Haxe 4.3.7 APIs cannot open a child relative to a pinned parent, so ordinary path checks cannot authorize source bytes	docs/oracle-support-crate-source-admission-disposition.md; Oracle request orq_20260813T184955Z_060afb9d	ledger processed and archived; Stage 2A ready; Stage 2B host policy still gated
2026-08-13T21:08:47Z	contract	added Stage 2A parser and warm-lifecycle expectations before implementation	the repository requires a failing contract before compiler work	test/scripts/support-crate-boundary.test.js	red: valid declaration still emits the old unversioned reservation message
2026-08-13T21:34:41Z	implementation	Implemented the pure request-local Stage 2A plan and stable stop	Typed metadata must be normalized and validated before later native source admission can own bytes or paths	SupportCrateRequestPlan.hx; SupportCrateRequestPlanner.hx; RustCompiler.hx; docs/support-crate-facility.md	valid declarations normalize into immutable facts; invalid grammar fails closed; no filesystem access or Rust output
2026-08-13T21:34:41Z	verification	Passed focused source, warm-server, diagnostic, compatibility, typing, and installed-package checks	The new public boundary must work from source and the shipped archive without leaking request state	test:support-crate-boundary 8/8; package-smoke OK; diagnostic and public compatibility guards/tests OK; dynamic guard OK; git diff check OK	focused gates green; full harness and independent review remain
2026-08-13T22:11:43Z	self-review	Closed a missed inline anonymous-record field placement	A public marker reserved to extern classes must reject metadata nested in every reachable typed field shape	direct inline-record probe compiled before fix; new negative fixture; recursive field-type inventory	counterexample now reports HXRS-METADATA-PLACEMENT; focused matrix expanded
2026-08-13T22:11:43Z	verification	Synchronized derived public and raw-authority inventories after planner changes	Line-sensitive compatibility and raw-authority inventories must match the exact compiler bytes before the complete harness can run	docs:sync:rust-raw-authority; public-compatibility refresh/write-review; both guards	derived inventories current and guards green
2026-08-13T22:35:00Z	independent-review	Closed typed-placement, Cargo grammar, and warm-output counterexamples before final review	The reserved marker can survive on type parameters, arguments, overloads, initializers, and expression types; Cargo also applies exact name, target, and SemVer rules	seven negative placement fixtures; dotted and two-part target fixtures; exact-version overflow control; full-tree warm comparisons	all reported counterexamples now fail closed or preserve the admitted value
2026-08-13T22:39:00Z	lifecycle	Moved Stage 2A parsing to Haxe's final typing callback and retained only detached results	Haxe removed expression-type metadata before compile-start, so a retained typed object was not a real snapshot	onAfterTyping probe; SupportCrateRequestPlanner detached failure and plan; safe-reject-safe-reject fixture	expression metadata is caught while authoritative; request maps clear before diagnostics
2026-08-13T22:44:00Z	verification	Passed the expanded focused Stage 2A suite	The final parser bytes must prove grammar, every preserved typed placement, no filesystem access, and warm request isolation	npm run test:support-crate-boundary	12/12 passed in 111.2 seconds; derived inventories, complete harness, and final review remain
2026-08-13T23:04:33Z	independent-review	Closed recursive-generic traversal and repeated-owner accounting findings	Type-parameter constraints can refer back to the same parameter through fresh Haxe wrappers, and a merged declaration must retain every owner	reviewer F-bound counterexample; support_crate_recursive_generic_no_metadata; mergeRequest owner loop	constraints are reopened only at declaration owners; occurrences still scan metadata; every incoming owner is merged
2026-08-13T23:04:33Z	verification	Passed the final focused Stage 2A suite after the recursion repair	Ordinary recursive generics must remain valid while every reserved-metadata placement still fails closed	npm run test:support-crate-boundary	13/13 passed in 117.5 seconds; derived inventories, complete harness, and final review remain
2026-08-14T00:55:26Z	independent-review	Accepted the final Stage 2A parser and placement inventory	A separate reviewer challenged metadata placement, Cargo grammar, warm lifecycle, recursive types, and request ownership before approval	reviewer final report; focused and adversarial probes	approved with no blocking findings; Stage 2B risks remain explicitly deferred
2026-08-14T00:55:26Z	verification	Passed the complete local repository harness on the frozen reviewed bytes	A compiler-wide typed metadata walk must not change ordinary Haxe-to-Rust behavior or weaken Metal safety policy	npm run check:harness	40 stages passed in 6172 seconds: 138 snapshots, 36 semantic comparisons, 100 stdlib modules, full Metal policy, packages, templates, examples, and native parity
2026-08-14T00:58:54Z	verification	Recorded the optional codex-hxrust consumer lane as unavailable	The repository gate cannot claim downstream evidence when the sibling consumer checkout is not installed	npm run test:codex-hxrust	skipped by the repository script because ../codex-hxrust is absent; no consumer result claimed
2026-08-14T01:00:03Z	verification	Renamed the Cargo version-bound helper after the commit hook rejected a numeric suffix	The repository reserves numeric-suffixed compiler identifiers because they hide meaning and age poorly	pre-commit numeric-suffix guard; descriptive helper rename	behavior unchanged; helper now names the Cargo version-component contract
