ts	phase	decision	why	evidence	result
2026-08-12T01:01:03Z	failure	Stopped refreshing the live Cargo snapshot after a second registry-only change	An unchanged source commit failed again within one hour, so another snapshot refresh could not make the required gate stable	test/compatibility-baselines/fresh-cargo-resolution/systems/Cargo.lock	architecture blocker confirmed
2026-08-12T01:03:53Z	review	Requested a GPT-5.6 Pro review of the stable-check versus live-registry ownership split	The repeated failure changed release-admission policy and the repository requires independent review for a non-converging xhigh contract	Oracle request orq_20260812T010353Z_f4b11204	waiting for durable response
2026-08-12T01:23:00Z	isolation	Created a dedicated repair branch from current origin/main	The generic Cargo gate repair must not be mixed with the current-process I/O feature or the dirty primary checkout	branch fix/fresh-cargo-authority at adf90b19	clean isolated worktree
2026-08-12T02:10:00Z	design	Adopted reviewed verification, live observation, and exact candidate admission as separate modes	Each operation now has one authority and live registry state cannot decide required CI	Oracle disposition plus typed policy schema v3	implementation boundary accepted
2026-08-12T03:05:00Z	verification	Verified the reviewed 0.1.46 graph on exact Rust and Cargo 1.96.0	The mandatory gate must reproduce accepted bytes without selecting new package versions	npm run test:fresh-cargo-resolution	all five cases and mutation probe passed
2026-08-12T03:09:00Z	observation	Captured the live 0.1.47 registry graph twice without changing tracked evidence	Registry drift remains visible but is not repository verification authority	npm run fresh-cargo-resolution:observe	seven classified differences and deterministic pass digests; exited FCR101
2026-08-12T03:12:00Z	admission	Verified the exact observed candidate without resolving again	Review and admission must apply to the same bytes and paired toolchain	npm run fresh-cargo-resolution:admit -- --dry-run	all frozen cases and mutation probe passed; no baseline write
2026-08-12T04:35:00Z	verification	Ran the complete local harness on the frozen first repair commit	A supply-chain gate needs whole-compiler evidence before review	npm run check:harness on 3a1b6f94	6260 seconds; all stages passed; clean exact head
2026-08-12T04:45:00Z	review	Retained seven independent-review findings for repair	The review found concrete CI archive, update-path, containment, provenance, clean-checkout, environment, and documentation counterexamples	fresh-context review of 3a1b6f94	changes requested before PR
2026-08-12T04:58:00Z	admission	Bound admission to the operator-recorded closed candidate-tree digest	Internal self-consistency cannot prove that reviewed bytes stayed unchanged before admission	observe printed a0215e0631b3593e62b7c65ac34cff6ed38616a6b630a1634864f65d2edbda41; admit dry-run used it	exact digest passed; zero digest failed before Cargo
2026-08-12T06:34:05Z	review	Replaced locale-dependent normalized metadata ordering with byte-order schema 2	The evidence must have identical bytes on all supported hosts	scripts/ci/fresh-cargo-resolution.js; test/compatibility-baselines/fresh-cargo-resolution/manifest.json	all reviewed metadata regenerated; focused policy tests pass
2026-08-12T06:34:05Z	admission	Admitted candidate b82c7116 after exact frozen verification	The reviewed baseline had to use the same captured bytes without another registry resolution	test/compatibility-baselines/fresh-cargo-resolution; candidate SHA-256 b82c7116db82db6fdc27097df051029cf0e1f269da4cf340a349669349be3c83	num-integer moved from 0.1.46 to 0.1.47; all other graph changes were normalization schema bytes
2026-08-12T06:34:05Z	recovery	Kept a lock and actual-directory journal transaction instead of adding an immutable-set selector	The bounded local process-crash requirement is satisfied by recovery at every rename boundary	scripts/ci/fresh-cargo-resolution.js; test/scripts/rust-toolchain-policy.test.js	prepared, old-moved, and new-installed interruption tests pass
2026-08-12T06:34:05Z	ci	Restricted generated-crate CI to reviewed locks and two exact Cargo commands	Mandatory CI must not select versions from the live registry or accept flags that weaken the build	scripts/ci/run-reviewed-generated-cargo.js; .github/workflows/ci.yml	representative check and Clippy commands pass
2026-08-12T07:03:39Z	isolation	Used the branch-owned hook for the final commit instead of replacing the shared installed hook	Git shares one installed hook across worktrees, and another branch had installed a newer contract that this branch does not contain	shared .git/hooks/pre-commit versus scripts/hooks/pre-commit	branch hook will run from an isolated temporary hooks directory; no hook or validation is skipped
